entity,n,category,predicted occupation,title1,title2,title3,title4,title5,description1,description2,description3,description4,description5
Teekay Lng,826,org,#N/A,,,,,,,,,,
Trine University,775,org,#N/A,,,,,,,,,,
Angola Oil,360,org,#N/A,,,,,,,,,,
Department Of Corrections,337,org,#N/A,,,,,,,,,,
Angola High School,284,org,#N/A,,,,,,,,,,
Chevron,281,org,#N/A,,,,,,,,,,
Amy Oberlin,251,person,businessperson,Amy Oberlin - Editor - Hurd Media Group | LinkedIn,"Katie Oberlin Obituary (2017) - Pleasant Lake, IN - KPCNews",Amy Oberlin - news editor - KPC Media Group | LinkedIn,Leadership Team | cahootscoffeecafe,Amy Oberlin | kpcnews.com,"View Amy Oberlin's profile on LinkedIn, the world's largest professional community. Amy has 2 jobs listed ... Angola, Indiana, United States194 connections.","Dec 5, 2017 ... Surviving are her parents; her sister, Amy Oberlin of Angola; her niece, PaigeAnn Puthoff of Angola; grandparents Mac Lynn and Pat Oberlin ...","View Amy Oberlin's profile on LinkedIn, the world's largest professional community. Amy has 1 job listed ... Angola, Indiana, United States183 connections.","Amy Oberlin is the news editor at The Herald Republican in Angola. A Steuben County native, she has immerse herself in volunteer opportunities benefiting ...","After back-to-back RBI singles by Mortrud and Kauffman, Westview baseball leads 6-0 over Bremen and forces a pitching change. Over at the softball diamond, ..."
Ymca,245,org,#N/A,,,,,,,,,,
Feliciana Parish Sheriff Office,229,org,#N/A,,,,,,,,,,
Cameron Memorial Community Hospital,224,org,#N/A,,,,,,,,,,
Billy Graham Library,211,org,#N/A,,,,,,,,,,
Steuben Community Center,204,org,#N/A,,,,,,,,,,
Angola Telecom,179,org,#N/A,,,,,,,,,,
Joao Lourenco,160,person,politician,João Lourenço - Wikipedia,A Conversation With President João Lourenço of Angola | Council ...,Readout of National Security Advisor Jake Sullivan's Meeting with ...,Angola ruling party backs President Joao Lourenco for second term ...,Angola's President João Lourenço tries to pull off a tricky balancing act,"João Manuel Gonçalves Lourenço, GColIH (born 5 March 1954) is an Angolan politician who has served as the president of Angola since 26 September 2017.","Sep 23, 2019 ... CROCKER: Welcome to today's Council on Foreign Relations Meeting with President João Lourenço of Angola. I am Chester Crocker, professor of ...","Sep 20, 2021 ... National Security Advisor Jake Sullivan met today with Angolan President João Lourenço to reinforce the strong bilateral relations between ...","Dec 11, 2021 ... Angola's governing party, which has held power for nearly half a century, has selected incumbent President Joao Lourenco as their candidate ...","May 11, 2021 ... When João Lourenço's took over as president, it marked a turning point in Angolan history. In September 2017, after 38 years of rule by José ..."
Steuben County Sheriff Department,155,org,#N/A,,,,,,,,,,
Amnesty International,152,org,#N/A,,,,,,,,,,
Exxonmobil,149,org,#N/A,,,,,,,,,,
Google,148,org,#N/A,,,,,,,,,,
Angola Common Council,147,org,#N/A,,,,,,,,,,
National Bank,140,org,#N/A,,,,,,,,,,
Angola Police,129,org,#N/A,,,,,,,,,,
Supreme Court,128,org,#N/A,,,,,,,,,,
Angola Fire Department,128,org,#N/A,,,,,,,,,,
Sheriff Office,124,org,#N/A,,,,,,,,,,
