entity,n,org_flag,url1,url2,url3,url4,url5,title1,title2,title3,title4,title5,description1,description2,description3,description4,description5
Angola Teekay Lng,826,True,https://www.teekay.com/blog/2011/08/30/teekay-names-two-new-lng-vessels/,https://www.sec.gov/Archives/edgar/data/1308106/000130810607000032/form6k_exhibit1.pdf,https://www.teekay.com/,https://www.angolalng.com/en/marketing/shipping/,https://www.nyk.com/english/news/2011/NE_110824_2.html,Teekay Names Two New LNG Vessels - Teekay | Teekay,TEEKAY LNG PARTNERS L.P. EARNINGS RELEASE,Teekay Corporation,Shipping - Angola LNG,Naming Ceremony Held for Two Vessels Set to Ship LNG from Angola,"Aug 30, 2011 ... Chartered by Angola LNG Supply Services, the vessels will ship the LNG from Angola to the global market under 20-year time charters.","Angola LNG Project. Today, Teekay Corporation (Teekay), the parent of Teekay LNG's general partner, announced that a consortium in which it has a 33% ...","Teekay has developed from a regional shipping company into one of the world's largest marine energy transportation, storage & production companies.","The operation of those ships is performed by NYK and Teekay, with each operating two vessels. Three vessels are owned by Sonangol Shipping, and operated by ...","Aug 24, 2011 ... (headquarters: Chiyoda-ku, Tokyo); and Teekay Corporation (headquarters: Vancouver, Canada) to ship LNG. The vessels are chartered by Angola LNG ..."
Angola Billy Graham,824,False,https://lifewayresearch.com/2018/02/26/billy-grahams-angola-prison-crafted-plywood-casket/,https://www.thegospelcoalition.org/blogs/evangelical-history/story-behind-billy-grahams-prison-built-casket/,https://www.theadvocate.com/baton_rouge/news/article_dc65290a-1761-11e8-826e-3361d1fe08f3.html,https://www.wafb.com/story/37560797/billy-grahams-casket-was-hand-built-by-inmates-at-angola,https://www.theadvocate.com/baton_rouge/news/article_ad372de6-1ef9-11e8-b5bc-1fc0b4bcca77.html,Why Billy Graham's Casket Is From Angola Prison - Lifeway Research,The Story Behind Billy Graham's Prison-Built Casket,Evangelist Billy Graham to be buried in casket made by Angola ...,Billy Graham's casket was hand built by inmates at Angola,Billy Graham's son shares behind-the-scenes look at Angola caskets ...,"Feb 26, 2018 ... As thousands paid their respects to “America's pastor,” images of Billy Graham's pine plywood casket was on prominent display on smartphones, ...","Feb 28, 2018 ... Franklin Graham preached at Angola, and George Beverly Shea sang there. In fact, Shea sang to more than 800 prisoners at Angola in 2009. He was ...","Feb 21, 2018 ... The Rev. Billy Graham, the internationally revered Christian evangelist who died early Wednesday, is expected to be buried in a coffin built ...","Feb 21, 2018 ... Inmates at one of the country's most well-known prisons will have a hand in laying Reverend Billy Graham to rest. At his request, Angola ...","Mar 3, 2018 ... The Rev. Billy Graham, an internationally revered Christian evangelist who died last week, was buried in a casket crafted by inmates at ..."
Angola Trine University,775,True,https://www.trine.edu/,https://en.wikipedia.org/wiki/Trine_University,https://www.trine.edu/academics/majors-degrees/,https://www.trinethunder.com/,https://www.trine.edu/about/history-and-tradition.aspx,"Trine University | Angola, IN - Engineering, Business, Education ...",Trine University - Wikipedia,Majors and Degrees | Trine University,Trine University Athletics,History and Tradition | Trine University,"Trine University, formerly known as Tri-State University, is a private post-secondary institution located in Angola, Indiana. The school offers degrees in ...","Trine University is a private university in Angola, Indiana. It was founded in 1884 and offers degrees in the arts and sciences, business, education, ...","Majors and Degrees at Trine University in Angola Indiana, providing high quality education for high school graduates in the fields of engineering, education ...","GENEVA, Ohio – The Trine University track and field team concluded action at the 2022 NCAA DIII Outdoor National Championships on Saturday with three student- ...","Trine founded as Tri-State Normal College by the residents of Angola, Ind., and the Commerce Building — now known as Taylor Hall — is constructed as the ..."
Angola Albert Woodfox,473,False,https://www.newyorker.com/magazine/2017/01/16/how-albert-woodfox-survived-solitary,https://en.wikipedia.org/wiki/Angola_Three,https://www.theguardian.com/us-news/2019/mar/04/after-40-years-in-solitary-activist-albert-woodfox-tells-his-story-of-survival,https://www.cnn.com/2016/02/19/us/angola-3-albert-woodfox-released/index.html,https://www.theguardian.com/us-news/2016/feb/20/albert-woodfox-angola-3-first-interview-trump-confinement,How Albert Woodfox Survived Solitary | The New Yorker,Angola Three - Wikipedia,"After 40 years in solitary, activist Albert Woodfox tells his story of ...",Angola 3 Albert Woodfox released | CNN,Albert Woodfox speaks after 43 years in solitary confinement: 'I ...,"Jan 8, 2017 ... Instead, he founded a chapter of the Party at the Louisiana State Penitentiary, in Angola, where he was held in solitary confinement for more ...","The Angola Three are three African-American former prison inmates (Robert King, Albert Woodfox and Herman Wallace) who were held for ...","Mar 4, 2019 ... The former Black Panther and member of the Angola 3 reflects on how he turned his cell from a place of confinement to a space for personal ...","Feb 19, 2016 ... Albert Woodfox, the last incarcerated member of the so-called ""Angola 3,"" was released from a prison in Louisiana on Friday, his attorneys ...","Feb 20, 2016 ... Exclusive: In his first interview as a free man, the last of the Angola Three talks about how he followed the news, including the 'racism' ..."
Angola Herman Wallace,405,False,https://www.theguardian.com/world/2013/oct/04/herman-wallace-angola-three-dies-solitary-confinement,https://www.nytimes.com/2013/10/05/us/herman-wallace-held-41-years-in-solitary-dies-at-71.html,https://en.wikipedia.org/wiki/Angola_Three,https://www.amnestyusa.org/remembering-herman-wallace-1941-2013/,https://www.aclu.org/blog/smart-justice/mass-incarceration/after-42-years-solitary-herman-wallace-dies-free-man,Herman Wallace: 'Angola Three' inmate dies days after release from ...,"Herman Wallace, Freed After 41 Years in Solitary, Dies at 71 - The ...",Angola Three - Wikipedia,Remembering Herman Wallace (1941 - 2013),"After 42 Years in Solitary, Herman Wallace Dies a Free Man ...","Oct 4, 2013 ... Herman Wallace: 'Angola Three' inmate dies days after release from solitary ... A 71-year-old man who spent more than four decades in solitary ...","Oct 4, 2013 ... Mr. Wallace was serving a prison sentence for armed robbery when the correctional officer, Brent Miller, was stabbed to death in a riot at ...","The Angola Three are three African-American former prison inmates (Robert King, Albert Woodfox and Herman Wallace) who were held for ...","Oct 5, 2013 ... Herman Wallace was first placed in solitary in 1972, after prison guard Brent Miller was murdered at Angola prison. He was convicted of the ...","Oct 4, 2013 ... In 1974, Mr. Wallace was convicted of the murder of a corrections officer at Louisiana's Angola prison, where he was serving a sentence on other ..."
Angola Angola Oil,360,True,https://www.opec.org/opec_web/en/about_us/147.htm,https://www.imf.org/en/News/Articles/2020/09/18/na-angola-confronting-the-covid-19-pandemic-and-the-oil-price-shock,https://www.reuters.com/world/africa/nigeria-angola-responsible-almost-half-opec-oil-supply-gap-2022-05-06/,https://www.trade.gov/country-commercial-guides/angola-oil-and-gas,https://www.worldometers.info/oil/angola-oil/,Angola - OPEC,Angola: Confronting the COVID-19 Pandemic and the Oil Price Shock,Analysis: Nigeria and Angola responsible for almost half of OPEC+ ...,Angola - Oil and Gas,"Angola Oil Reserves, Production and Consumption Statistics ...",Angola's impressive economic growth rate is being driven by its oil sector. Oil production and its supporting activities contribute about 50 per cent of the ...,"Sep 21, 2020 ... Street vendors in front of the National Bank of Angola. The Angolan government has introduced comprehensive fiscal and monetary measures to ...","May 6, 2022 ... Almost half the shortfall in planned oil supply by OPEC and its allies is down to Nigeria and Angola, data seen by Reuters shows, ...","Sep 8, 2021 ... Angola is the second largest oil producing country in sub-Saharan Africa and an OPEC member with output of approximately 1.3 million barrels ...","Angola holds 8,423,000,000 barrels of proven oil reserves as of 2016, ranking 18th in the world and accounting for about 0.5% of the world's total oil ..."
Angola Department Of Corrections,337,True,https://doc.louisiana.gov/location/louisiana-state-penitentiary/,https://www.doccu.org/,https://doc.louisiana.gov/imprisoned-person-programs-resources/offender-information/,https://en.wikipedia.org/wiki/Louisiana_State_Penitentiary,https://www.angolamuseum.org/history-of-angola,Louisiana State Penitentiary - Louisiana Department of Public Safety ...,DOCCU,Information For & About People in Prison - Louisiana Department of ...,Louisiana State Penitentiary - Wikipedia,History of Angola — The Angola Museum at the Louisiana State ...,Continue to provide for the safety of the correctional staff and people in ... For more information about Louisiana State Penitentiary visit the Angola ...,"“After college graduation, the credit union helped me establish my credit and set me up for success with my financial future. I'm thankful for their knowledge ...","Find contact info, directions, and more for each correctional facility. ... Prisons have educated their inmate populations on the processes and procedures ...","Angola is the largest maximum-security prison in the United States with 6,300 prisoners and 1,800 staff, including corrections officers, janitors, maintenance, ...","Credit: On loan from the Louisiana Department of Public Safety and Corrections. 1955 Angola's Main Prison. To achieve the new reforms, the State significantly ..."
Angola Facebook,337,True,https://www.facebook.com/CityOfAngolaMunicipality,https://m.facebook.com/Angola-Motorsport-Speedway-191361907573176/posts/,https://www.facebook.com/AngolaMuseum/,https://www.statista.com/statistics/1182071/distribution-of-facebook-users-in-angola-by-gender/,https://www.facebook.com/villageofangola.org,City of Angola Municipality | Facebook,Angola Motorsport Speedway - Posts | Facebook,Angola Museum - Home | Facebook,• Facebook users in Angola by gender 2021 | Statista,Village of Angola | Facebook,"City of Angola Municipality. 4950 likes · 2127 talking about this · 122 were here. 210 N. Public Square Angola, In 46703 260-665-2514.","Angola Motorsport Speedway, Fremont, IN. 15703 likes · 307 talking about this · 18016 were here. Angola Motor Speedway.","The Angola Museum at the Louisiana State Penitentiary preserves the past, honors all progress, and... 17544 Tunica Trace, Angola, LA 70712.","Facebook is more popular among male users in Angola. In August 2021, 57.3 percent of the social media users in the country were men, ...","Village of Angola, Angola, New York. 1323 likes · 231 talking about this · 1545 were here. Government Office for the Village of Angola."
Angola Robert King,333,False,https://en.wikipedia.org/wiki/Robert_Hillary_King,https://www.theguardian.com/us-news/2015/jun/10/angola-three-robert-king-solitary-confinement,https://www.aclu.org/other/solitary-confinement-soul-cries-and-brain-shrinks,https://www.npr.org/2016/03/19/470828257/after-decades-in-solitary-last-of-the-angola-3-carry-on-their-struggle,https://www.cnn.com/2014/02/23/health/solitary-confinement-psychology/index.html,Robert Hillary King - Wikipedia,Angola Three's Robert King looks back on 30 years of solitary ...,"Solitary Confinement: ""The Soul Cries and the Brain Shrinks ...","Angola 3: Free After Decades Of Solitary Confinement, The Struggle ...","Solitary confinement and the ""Angola 3"" | CNN","Robert Hillary King (born May 30, 1942), also known as Robert King Wilkerson, is an American known as one of the Angola Three, former prisoners who were ...","Jun 10, 2015 ... King is one of three men known as the “Angola Three,” who supporters say spent decades in solitary confinement at the Louisiana state ...","Herman Wallace, Albert Woodfox and Robert King make up the “Angola 3,” prisoners who were targeted for punishment and placed in solitary confinement at the ...","Mar 19, 2016 ... Robert King, Albert Woodfox and Herman Wallace spent over 100 years combined in solitary confinement for a prison guard's death.","Feb 23, 2014 ... Robert King was one of three inmates known as the ""Angola 3"" who protested what they said were injustices at the Louisiana State ..."
Angola Brent Miller,329,False,https://www.odmp.org/officer/9311-corrections-sergeant-brent-miller,https://www.amnesty.org/en/latest/news/2014/03/wife-murdered-prison-guard-urges-justice-man-placed-solitary-years-ago/,https://www.npr.org/2008/10/28/96199165/favors-inconsistencies-taint-angola-murder-case,https://www.theadvocate.com/baton_rouge/news/crime_police/article_c4cd7222-b236-562d-b754-0e66be21f689.html,https://www.latimes.com/local/lanow/la-na-last-angola-3-prison-released-20160219-story.html,"Corrections Sergeant Brent Miller, Louisiana Department of ...",Wife of murdered prison guard urges justice for man placed in ...,"Favors, Inconsistencies Taint Angola Murder Case : NPR",Angola 3 member Albert Woodfox out of jail; see video of first steps ...,"Last 'Angola 3' prisoner freed, after decades in solitary confinement ...",Corrections Sergeant Brent Miller stabbed to death at the Angola State Prison by inmates who were members of the Black Panthers.,"Mar 4, 2014 ... ... husband Brent Miller to work. He was a guard at the notorious Angola prison in the state of Louisiana. A few hours later, she was […]","Oct 28, 2008 ... Brent Miller was born and raised in Louisiana's Angola Prison, in a special neighborhood built just for correctional officers. It was there that ...","Earlier in court Friday morning, Woodfox plead no contest to manslaughter and aggravated burglary in the 1972 killing of Brent Miller, a guard at Louisiana ...","Feb 19, 2016 ... “Today's plea brings closure to the family of Brent Miller, justice for the people of Louisiana, and finality to this decades-long prosecution,” ..."
